logged_steps,T,T_t,T_x,T_xx,t,x,rms,scale,run_mode
10,[377.29846 377.2973  377.2944  ... 360.72134 360.6051  360.48804],"[-0.24713142 -0.24570632 -0.24442147 ... -0.10840292 -0.10799766
 -0.10758632]","[  -0.43068534   -2.5724492    -4.811784   ... -147.13103    -148.1579
 -149.18033   ]",[-2638.4387 -2790.865  -2889.7437 ... -1306.8326 -1301.2837 -1295.5386],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0021223542280495167, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.010367108508944511}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
11,[377.3432  377.34064 377.33627 ... 360.69968 360.58328 360.4661 ],"[-0.25610536 -0.25436836 -0.25274742 ... -0.10901816 -0.10863313
 -0.10824216]","[  -2.166397    -4.390222    -6.6984897 ... -147.2904    -148.31389
 -149.33284  ]",[-2753.0269 -2886.1821 -2969.8179 ... -1302.6672 -1297.0043 -1291.2013],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0018344589043408632, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009379331022500992}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
12,[377.6817  377.67816 377.67273 ... 360.8946  360.77783 360.66025],"[-0.25980636 -0.2581248  -0.25651568 ... -0.10937469 -0.1089898
 -0.10859872]","[  -3.365623    -5.6954885   -8.098861  ... -147.76884   -148.80211
 -149.8311   ]",[-2896.4778 -3013.6992 -3083.4653 ... -1314.9631 -1309.5371 -1303.9471],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0016899643233045936, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.008884314447641373}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
13,[378.01852 378.01303 378.00558 ... 361.07437 360.95715 360.83908],"[-0.26371893 -0.26188394 -0.260083   ... -0.11028439 -0.10991444
 -0.10953869]","[  -5.774152   -8.190546  -10.669191 ... -148.36424  -149.40686
 -150.44547 ]",[-3012.5298 -3115.924  -3173.6055 ... -1326.795  -1321.5826 -1316.191 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0017564579611644149, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009509582072496414}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
14,[377.9889  377.98303 377.97528 ... 361.06903 360.9516  360.83328],"[-0.25870997 -0.25682276 -0.25498122 ... -0.11085971 -0.11051133
 -0.1101571 ]","[  -6.31042    -8.651398  -11.057758 ... -148.66374  -149.71202
 -150.75626 ]",[-2916.0264 -3021.6174 -3083.4766 ... -1333.9199 -1328.7173 -1323.3568],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0015570975374430418, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.007900126278400421}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
15,[377.95172 377.94708 377.9406  ... 361.1055  360.9877  360.86905],"[-0.25253728 -0.25084454 -0.24918061 ... -0.11116146 -0.11082087
 -0.11047522]","[  -4.7312503   -7.047964    -9.413736  ... -149.06996   -150.1312
 -151.18857  ]",[-2896.3357 -2980.002  -3025.1663 ... -1350.2714 -1345.4    -1340.376 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0013158556539565325, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.006055748090147972}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
16,[377.9044  377.89975 377.89325 ... 361.07962 360.96194 360.84344],"[-0.253051   -0.251368   -0.24969798 ... -0.11142525 -0.1110834
 -0.11073655]","[  -4.7188005   -7.070541    -9.46277   ... -148.91226   -149.97702
 -151.03807  ]",[-2948.2114 -3018.4473 -3052.3643 ... -1354.4128 -1349.8828 -1345.2008],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.001199131365865469, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.005451553035527468}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
17,[377.77994 377.7753  377.7688  ... 360.99258 360.8749  360.75635],"[-0.25077713 -0.24917382 -0.24757734 ... -0.11207252 -0.11173954
 -0.11140177]","[  -4.7468324   -7.0663614   -9.427927  ... -148.93063   -149.99895
 -151.06372  ]",[-2906.975  -2978.3003 -3015.3542 ... -1358.9144 -1354.4609 -1349.8577],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0011492456542328, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.004859901964664459}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
18,[377.6923  377.68796 377.68176 ... 360.94083 360.82312 360.7046 ],"[-0.2481151  -0.24672456 -0.24530974 ... -0.11260052 -0.1122759
 -0.11194682]","[  -4.338496   -6.680257   -9.054125 ... -148.93323  -150.0057
 -151.07462 ]",[-2944.0378 -2999.4258 -3024.4146 ... -1364.3434 -1359.8114 -1355.1222],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0011716382578015327, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.00474940799176693}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
19,[377.60577 377.60144 377.59525 ... 360.8813  360.76376 360.64536],"[-0.24685878 -0.24547015 -0.24404919 ... -0.11251562 -0.11219442
 -0.11186869]","[  -4.349104   -6.687705   -9.05431  ... -148.76141  -149.83138
 -150.8978  ]",[-2941.978  -2992.8447 -3014.1252 ... -1361.0575 -1356.5153 -1351.8134],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0011221435852348804, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.00458084512501955}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
