logged_steps,T,T_t,T_x,T_xx,t,x,rms,scale,run_mode
30,[374.69757 374.69632 374.6935  ... 358.9209  358.80713 358.69254],"[-0.2043376  -0.20374829 -0.2031664  ... -0.10927483 -0.10897209
 -0.10866491]","[  -0.66187143   -2.5754042    -4.5127897  ... -143.99039    -145.0275
 -146.06062   ]",[-2407.7563 -2448.7273 -2470.1287 ... -1319.3805 -1314.6572 -1309.7462],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0006875816616229713, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.003473122837021947}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
31,[374.5025  374.50113 374.49823 ... 358.781   358.66748 358.55316],"[-0.20214407 -0.20156626 -0.20099737 ... -0.10913835 -0.10883802
 -0.10853341]","[  -0.8312801   -2.7171497   -4.6268373 ... -143.65457   -144.68971
 -145.7211   ]",[-2373.1328 -2413.4116 -2434.9053 ... -1317.0436 -1312.2823 -1307.3394],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0006766383303329349, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0034467726945877075}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
32,[374.41205 374.4107  374.4079  ... 358.71786 358.60443 358.49017],"[-0.20074344 -0.20018874 -0.19964266 ... -0.10914443 -0.10884649
 -0.10854401]","[  -0.75835043   -2.6371813    -4.538207   ... -143.54459    -144.5792
 -145.60992   ]",[-2366.5688 -2403.0645 -2421.6104 ... -1316.2678 -1311.5228 -1306.5922],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0006647527916356921, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0034676820505410433}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
33,[374.39444 374.39307 374.3902  ... 358.7032  358.58978 358.4756 ],"[-0.20063396 -0.2000908  -0.1995539  ... -0.10890743 -0.10861076
 -0.10830987]","[  -0.8064239   -2.690091    -4.592942  ... -143.4871    -144.52129
 -145.55173  ]",[-2373.679  -2407.3257 -2423.7195 ... -1315.8824 -1311.1361 -1306.2042],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0006692693568766117, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.003484973916783929}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
34,[374.24335 374.24176 374.2387  ... 358.58286 358.4696  358.35556],"[-0.19867647 -0.19812547 -0.19757983 ... -0.10890031 -0.10860942
 -0.10831445]","[  -1.0854754   -2.9539614   -4.836613  ... -143.28244   -144.31685
 -145.3475   ]",[-2358.4539 -2384.821  -2395.7507 ... -1316.0813 -1311.3043 -1306.3387],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0006165990489535034, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.003106625284999609}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
35,[374.05927 374.05756 374.0544  ... 358.43414 358.32117 358.20737],"[-0.19819123 -0.19765459 -0.19712071 ... -0.10873751 -0.10845272
 -0.10816397]","[  -1.2022599   -3.072237    -4.9553723 ... -142.96545   -143.99878
 -145.02844  ]",[-2361.6707 -2385.9248 -2395.8054 ... -1314.6918 -1309.9938 -1305.1118],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0005696488078683615, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0027723677922040224}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
36,[373.83536 373.8336  373.83032 ... 358.25897 358.14624 358.03268],"[-0.19681747 -0.19628313 -0.195747   ... -0.1087662  -0.10848679
 -0.10820341]","[  -1.3277484   -3.1900306   -5.059853  ... -142.65599   -143.68854
 -144.71744  ]",[-2354.3296 -2371.7773 -2376.7085 ... -1313.6833 -1309.0029 -1304.1488],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0005323503282852471, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.002446593949571252}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
37,[373.59467 373.59308 373.5901  ... 358.08765 357.97528 357.8621 ],"[-0.1948448  -0.19435775 -0.19387002 ... -0.10818717 -0.10791214
 -0.10763336]","[  -1.0729649   -2.9238832   -4.779233  ... -142.19034   -143.21848
 -144.24298  ]",[-2344.3474 -2355.128  -2355.6929 ... -1307.8777 -1303.4265 -1298.8113],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0004699964774772525, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.002081857994198799}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
38,[373.42032 373.4187  373.41562 ... 357.96838 357.8563  357.74338],"[-0.19142482 -0.19095111 -0.19047748 ... -0.10793724 -0.10766292
 -0.10738499]","[  -1.1759276   -2.9960065   -4.816403  ... -141.86922   -142.89459
 -143.91644  ]",[-2308.4888 -2312.8335 -2309.1187 ... -1304.4673 -1300.0503 -1295.4836],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00046606053365394473, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0020701109897345304}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
39,[373.3824  373.38074 373.37766 ... 357.93896 357.8269  357.71402],"[-0.19085245 -0.19037437 -0.18989944 ... -0.10802641 -0.10775272
 -0.10747525]","[  -1.1916591   -2.999216    -4.8085074 ... -141.82202   -142.84744
 -143.86919  ]",[-2291.3726 -2298.3062 -2296.8994 ... -1304.4185 -1299.9685 -1295.3695],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00045650871470570564, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.002027148613706231}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
40,[373.0999  373.09845 373.09558 ... 357.74875 357.6371  357.5246 ],"[-0.18594965 -0.18553615 -0.18513446 ... -0.10760981 -0.10733689
 -0.10706002]","[  -1.0065813   -2.7630835   -4.5232825 ... -141.30893   -142.33055
 -143.34865  ]",[-2226.5256 -2234.2332 -2234.6328 ... -1299.5752 -1295.2827 -1290.8558],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0004386374494060874, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0018389163305982947}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
41,[372.98923 372.98804 372.9854  ... 357.67764 357.5661  357.45377],"[-0.18449795 -0.1841457  -0.18379995 ... -0.1073596  -0.10708618
 -0.10680887]","[  -0.65663105   -2.4071133    -4.158823   ... -141.13904    -142.1601
 -143.17787   ]",[-2219.5388 -2224.977  -2223.818  ... -1298.8558 -1294.6604 -1290.3301],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00042469712207093835, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0017735755536705256}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
42,[372.81396 372.81305 372.81073 ... 357.55682 357.44553 357.33344],"[-0.18297143 -0.1826793  -0.18239182 ... -0.10714284 -0.10686985
 -0.10659327]","[  -0.31751686   -2.055511     -3.7942972  ... -140.83548    -141.85533
 -142.87183   ]",[-2204.051  -2208.5896 -2207.0422 ... -1297.1766 -1293.0518 -1288.7955],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0003978181630373001, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0016391550889238715}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
43,[372.60992 372.6091  372.60693 ... 357.41345 357.30234 357.1905 ],"[-0.18002097 -0.17977123 -0.1795298  ... -0.10722394 -0.10695296
 -0.10667838]","[  -0.16808414   -1.8714352    -3.5772686  ... -140.56221    -141.5822
 -142.59868   ]",[-2159.1853 -2165.8835 -2166.6353 ... -1297.3622 -1293.2268 -1288.9564],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.000380470126401633, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0015224292874336243}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
44,[372.54437 372.54364 372.54153 ... 357.36914 357.25815 357.14633],"[-0.17869215 -0.17845318 -0.17822465 ... -0.10724162 -0.10697184
 -0.1066984 ]","[-1.1865421e-01 -1.8078865e+00 -3.4994831e+00 ... -1.4046814e+02
 -1.4148726e+02 -1.4250273e+02]",[-2141.718  -2147.6602 -2147.9792 ... -1296.175  -1291.9929 -1287.6879],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00038752617547288537, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0015503013273701072}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
45,[372.33575 372.33527 372.33344 ... 357.22873 357.118   357.0065 ],"[-0.1760152  -0.1758429  -0.17567888 ... -0.1069448  -0.10667793
 -0.10640776]","[   0.19642034   -1.4736812    -3.1449869  ... -140.10988    -141.1255
 -142.13788   ]",[-2118.3691 -2122.6238 -2122.008  ... -1291.9362 -1287.8455 -1283.6318],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0004001047054771334, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0015845828456804156}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
46,[372.2712  372.27054 372.26855 ... 357.17496 357.06436 356.95294],"[-0.17589329 -0.17570081 -0.17552201 ... -0.10693236 -0.1066651
 -0.10639416]","[-2.4948576e-02 -1.6921676e+00 -3.3606977e+00 ... -1.3997545e+02
 -1.4099025e+02 -1.4200198e+02]",[-2115.1443 -2119.351  -2118.6755 ... -1290.9836 -1286.9036 -1282.7041],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0004051622236147523, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0016229936154559255}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
47,[372.20575 372.20508 372.20312 ... 357.12354 357.013   356.90167],"[-0.17601602 -0.17580825 -0.17561616 ... -0.10689373 -0.10662729
 -0.10635711]","[-3.9253244e-03 -1.6651665e+00 -3.3294008e+00 ... -1.3986298e+02
 -1.4087772e+02 -1.4188919e+02]",[-2105.7268 -2112.3452 -2113.7568 ... -1290.7904 -1286.7418 -1282.576 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00038400967605412006, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0015541708562523127}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
48,[372.1126  372.112   372.11005 ... 357.0517  356.94128 356.83005],"[-0.17558731 -0.17537035 -0.1751702  ... -0.10680912 -0.10654513
 -0.10627756]","[ 2.6558012e-02 -1.6259336e+00 -3.2817707e+00 ... -1.3972350e+02
 -1.4073758e+02 -1.4174832e+02]",[-2093.844  -2101.6729 -2104.187  ... -1289.7728 -1285.7357 -1281.5793],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00038511239108629525, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0015466248150914907}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
49,[372.09488 372.09418 372.09216 ... 357.0345  356.9241  356.81293],"[-0.17591776 -0.1756812  -0.1754611  ... -0.10675921 -0.1064959
 -0.10622893]","[-7.2625518e-02 -1.7273535e+00 -3.3853481e+00 ... -1.3967119e+02
 -1.4068491e+02 -1.4169539e+02]",[-2097.7634 -2104.5195 -2106.0771 ... -1289.404  -1285.3544 -1281.1838],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00038475811015814543, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0015437400434166193}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
50,[372.09988 372.099   372.0968  ... 357.03476 356.92438 356.81317],"[-0.17577091 -0.17551939 -0.17528647 ... -0.1067716  -0.10650826
 -0.10624154]","[  -0.29513997   -1.9503938    -3.6079116  ... -139.67714    -140.69107
 -141.70197   ]",[-2098.9307 -2104.7163 -2105.414  ... -1289.932  -1285.8959 -1281.7358],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0003892563108820468, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0015615505399182439}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
51,[372.09256 372.09167 372.08945 ... 357.02887 356.9185  356.80728],"[-0.1756502  -0.17539543 -0.17515765 ... -0.1068122  -0.10655043
 -0.10628489]","[  -0.32883573   -1.9834104    -3.6401196  ... -139.6798     -140.6938
 -141.7045    ]",[-2097.8083 -2103.363  -2103.9463 ... -1289.715  -1285.679  -1281.5215],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0003992127312812954, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0016032931162044406}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
52,[372.0774  372.07657 372.07443 ... 357.02014 356.9098  356.79858],"[-0.17539519 -0.17516504 -0.17495312 ... -0.10676758 -0.10650671
 -0.10624225]","[  -0.21563552   -1.8673314    -3.5230877  ... -139.66731    -140.68102
 -141.69133   ]",[-2094.8057 -2101.256  -2102.818  ... -1289.2404 -1285.1985 -1281.0327],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0003830098721664399, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0015408326871693134}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
53,[372.05963 372.05878 372.05658 ... 357.00677 356.89645 356.7853 ],"[-0.1746519  -0.17445877 -0.17428237 ... -0.10688568 -0.1066229
 -0.10635644]","[  -0.28189495   -1.9300809    -3.580646   ... -139.62236    -140.63696
 -141.64838   ]",[-2090.125  -2095.5063 -2096.5442 ... -1290.624  -1286.6116 -1282.4756],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0003936015418730676, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0015891193179413676}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
54,[372.04526 372.04428 372.042   ... 357.0009  356.89056 356.77945],"[-0.17400451 -0.17381057 -0.17363529 ... -0.10678338 -0.10652041
 -0.10625402]","[  -0.42366114   -2.059146     -3.6969855  ... -139.59894    -140.61278
 -141.6237    ]",[-2073.6584 -2079.1821 -2080.8354 ... -1289.6974 -1285.7594 -1281.6938],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00038131559267640114, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0015372837660834193}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
55,[372.05777 372.0569  372.0547  ... 357.01532 356.90503 356.79388],"[-0.17352161 -0.17333807 -0.17317212 ... -0.10674289 -0.10647969
 -0.10621275]","[  -0.33216283   -1.9651185    -3.5999465  ... -139.61293    -140.6268
 -141.63748   ]",[-2071.1848 -2075.5427 -2076.3318 ... -1289.5358 -1285.5924 -1281.5233],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00038419413613155484, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0015403169672936201}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
56,[372.06476 372.06403 372.062   ... 357.02643 356.91608 356.8049 ],"[-0.17326988 -0.17310336 -0.17295392 ... -0.10677499 -0.10651176
 -0.10624519]","[-1.1706565e-01 -1.7488534e+00 -3.3817372e+00 ... -1.3966435e+02
 -1.4067937e+02 -1.4169104e+02]",[-2069.7173 -2073.419  -2073.7705 ... -1290.9393 -1286.9979 -1282.9219],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00036610057577490807, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0014532210770994425}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
57,[372.0713  372.07043 372.06833 ... 357.02936 356.91898 356.80783],"[-0.17314304 -0.17299357 -0.17285992 ... -0.10675807 -0.10649441
 -0.10622717]","[  -0.2278417   -1.8608235   -3.4958415 ... -139.66058   -140.67534
 -141.68692  ]",[-2071.7444 -2076.031  -2076.9177 ... -1290.7278 -1286.7898 -1282.7281],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00035664139431901276, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0014246876817196608}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
58,[372.11127 372.1104  372.10828 ... 357.0594  356.94897 356.83777],"[-0.17346057 -0.17333165 -0.17321391 ... -0.10676279 -0.10649742
 -0.10622882]","[  -0.2600447   -1.9004893   -3.543282  ... -139.7201    -140.73523
 -141.74727  ]",[-2080.2822 -2085.3062 -2086.865  ... -1291.2357 -1287.3018 -1283.2415],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0003206207766197622, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.001293532783165574}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
59,[372.17682 372.17603 372.17398 ... 357.11304 357.0025  356.8912 ],"[-0.17386481 -0.17373368 -0.17361191 ... -0.1068269  -0.10656053
 -0.10629065]","[  -0.16331999   -1.8056264    -3.4508648  ... -139.83981    -140.8558
 -141.86853   ]",[-2083.0955 -2088.0059 -2089.5425 ... -1292.179  -1288.2098 -1284.1117],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00029552652267739177, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.001224301173351705}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
60,[372.2512  372.25052 372.24857 ... 357.1764  357.06577 356.95435],"[-0.17389351 -0.17379156 -0.17369561 ... -0.1068381  -0.10657077
 -0.10630025]","[-1.7594120e-02 -1.6667444e+00 -3.3172824e+00 ... -1.3997408e+02
 -1.4099052e+02 -1.4200395e+02]",[-2092.3623 -2096.1328 -2096.821  ... -1292.9332 -1288.9221 -1284.7827],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.000276031787507236, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0011675473069772124}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
61,[372.31387 372.31323 372.31128 ... 357.22885 357.1181  357.00662],"[-0.17387454 -0.17379919 -0.17372327 ... -0.10688228 -0.10661386
 -0.10634224]","[ 1.5223946e-03 -1.6540873e+00 -3.3101225e+00 ... -1.4009543e+02
 -1.4111237e+02 -1.4212625e+02]",[-2100.4795 -2103.1543 -2102.8855 ... -1293.5961 -1289.5807 -1285.4442],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00025502993958070874, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.0010860618203878403}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
62,[372.37314 372.37247 372.37045 ... 357.27463 357.16382 357.05225],"[-0.17449199 -0.17440662 -0.17431669 ... -0.10692091 -0.10665219
 -0.10637999]","[-3.5085924e-02 -1.6980722e+00 -3.3613820e+00 ... -1.4018393e+02
 -1.4120096e+02 -1.4221478e+02]",[-2110.6458 -2112.5376 -2111.6758 ... -1293.6248 -1289.6118 -1285.4828],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00024364273122046143, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.001047297497279942}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
63,[372.424   372.42334 372.4213  ... 357.3122  357.20132 357.08966],"[-0.17494975 -0.1748448  -0.17473389 ... -0.10701443 -0.10674656
 -0.10647515]","[-7.4206792e-02 -1.7384900e+00 -3.4036062e+00 ... -1.4029752e+02
 -1.4131544e+02 -1.4232993e+02]",[-2111.591  -2114.6335 -2114.7869 ... -1294.6216 -1290.6235 -1286.505 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.00023555786174256355, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.001023738645017147}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
